,sido,si,gu,os_nm,new_adr,api_adr,poll_div_cd,self_yn,wash_yn,repair_yn,conv_yn,all24_yn,oil_price
511,울산광역시,울산,울주군,행복주유소,울산 울주군 청량면 온산로 352,울산 울주군 청량면 온산로 352,현대오일뱅크,Y,N,N,N,Y,1315.0
512,울산광역시,울산,중구,대영주유소,울산 중구 북부순환도로 730,울산 중구 북부순환도로 730,GS칼텍스,Y,N,N,N,Y,1275.0
513,세종특별자치시,세종,조치원읍,베스트주유소,세종 조치원읍 세종로 2749,세종 조치원읍 세종로 2749,S-OIL,Y,N,N,N,Y,1267.0
514,세종특별자치시,세종,조치원읍,신안주유소,세종특별자치시 조치원읍 세종로 2678,세종특별자치시 조치원읍 세종로 2678,알뜰주유소,Y,N,N,N,Y,1267.0
515,세종특별자치시,세종,전의면,세종로주유소,세종 전의면 세종로 3880,세종 전의면 세종로 3880,S-OIL,N,N,N,N,Y,1275.0
516,세종특별자치시,세종,소정면,진영주유소,세종 소정면 세종로 4732,세종 소정면 세종로 4732,현대오일뱅크,Y,N,N,N,Y,1299.0
517,세종특별자치시,세종,소정면,세종주유소,세종 소정면 세종로 4313,세종 소정면 세종로 4313,현대오일뱅크,Y,N,N,N,Y,1349.0
518,세종특별자치시,세종,소정면,태산주유소,세종특별자치시 소정면 세종로 4274,세종특별자치시 소정면 세종로 4274,현대오일뱅크,Y,N,N,N,Y,1359.0
519,세종특별자치시,세종,조치원읍,(주)한유에너지 중부주유소,세종시 조치원읍 세종로 2167,세종시 조치원읍 세종로 2167,SK에너지,N,N,N,N,Y,1499.0
520,경기도,경기,가평군,(주)오일유업직영GS경춘주유소,경기 가평군 가평읍 경춘로 1776,경기 가평군 가평읍 경춘로 1776,GS칼텍스,N,N,N,N,Y,1319.0
521,경기도,경기,가평군,홀인원주유소,경기 가평군 상면 조종로 1622,경기 가평군 상면 조종로 1622,SK에너지,N,N,N,N,Y,1339.0
522,경기도,경기,가평군,국토셀프주유소,경기 가평군 조종면 비득재길 120,경기 가평군 조종면 비득재길 120,SK에너지,Y,N,N,N,Y,1339.0
523,경기도,경기,가평군,가평(춘천방향)주유소,경기 가평군 설악면 미사리로540번길 51,경기 가평군 설악면 미사리로540번길 51,SK에너지,N,N,N,N,Y,1355.0
524,경기도,경기,가평군,가평(서울방향)주유소,경기 가평군 설악면 미사리로 544,경기 가평군 설악면 미사리로 544,SK에너지,N,N,N,N,Y,1355.0
525,경기도,경기,가평군,스카이주식회사,경기 가평군 설악면 유명로 1335,경기 가평군 설악면 유명로 1335,S-OIL,Y,N,N,N,Y,1398.0
526,경기도,경기,고양시,명성주유소,경기 고양시 덕양구 호국로 1628 (벽제동),경기 고양시 덕양구 호국로 1628 ,SK에너지,Y,N,N,N,Y,1234.0
527,경기도,경기,고양시,개나리주유소,경기 고양시 덕양구 보광로 126 (벽제동),경기 고양시 덕양구 보광로 126 ,알뜰주유소,Y,N,N,N,Y,1234.0
528,경기도,경기,고양시,너멍골알뜰주유소,경기 고양시 덕양구 호국로 1259,경기 고양시 덕양구 호국로 1259,알뜰주유소,Y,N,N,N,Y,1234.0
529,경기도,경기,고양시,정상에너지(주)강매self주유소,경기 고양시 덕양구 중앙로 316 (도내동),경기 고양시 덕양구 중앙로 316 ,SK에너지,Y,N,N,N,Y,1245.0
530,경기도,경기,고양시,(주)에스엠에너지직영 그린주유소,경기 고양시 덕양구 호국로 992,경기 고양시 덕양구 호국로 992,GS칼텍스,N,N,N,N,Y,1245.0
531,경기도,경기,고양시,(주)어울림주유소,경기 고양시 덕양구 충장로 407,경기 고양시 덕양구 충장로 407,알뜰주유소,Y,N,N,N,Y,1245.0
532,경기도,경기,고양시,(주)통일로 일품주유소,경기 고양시 덕양구 통일로 862 (관산동),경기 고양시 덕양구 통일로 862 ,알뜰주유소,Y,N,N,N,Y,1255.0
533,경기도,경기,고양시,원흥제2주유소,경기 고양시 일산동구 성현로 533 (사리현동),경기 고양시 일산동구 성현로 533 ,현대오일뱅크,N,N,N,N,Y,1259.0
534,경기도,경기,고양시,신우에너지(주),경기 고양시 일산동구 고봉로 470 (성석동),경기 고양시 일산동구 고봉로 470 ,SK에너지,N,N,N,N,Y,1263.0
535,경기도,경기,고양시,성석셀프주유소,경기 고양시 일산동구 성현로 58 (성석동),경기 고양시 일산동구 성현로 58 ,현대오일뱅크,Y,N,N,N,Y,1264.0
536,경기도,경기,고양시,명품주유소,경기 고양시 덕양구 중앙로 107,경기 고양시 덕양구 중앙로 107,현대오일뱅크,Y,N,N,N,Y,1265.0
537,경기도,경기,고양시,풍산셀프주유소,경기 고양시 일산동구 중산로 55 (중산동),경기 고양시 일산동구 중산로 55 ,SK에너지,Y,N,N,N,Y,1265.0
538,경기도,경기,고양시,KH에너지(주)KH기쁨주유소,경기 고양시 일산동구 고양대로 1064 (식사동),경기 고양시 일산동구 고양대로 1064 ,SK에너지,N,N,N,N,Y,1265.0
539,경기도,경기,고양시,(주)휴세코 희망주유소/충전소,경기 고양시 일산서구 경의로 910,경기 고양시 일산서구 경의로 910,GS칼텍스,N,N,N,N,Y,1275.0
540,경기도,경기,고양시,대신석유(주)대자주유소,경기도 고양시 덕양구  통일로 499,경기도 고양시 덕양구  통일로 499,SK에너지,Y,N,N,N,Y,1277.0
541,경기도,경기,고양시,이산포주유소,경기도 고양시 일산서구  고양대로 114 (법곳동),경기도 고양시 일산서구  고양대로 114 ,S-OIL,N,N,N,N,Y,1285.0
542,경기도,경기,고양시,호수공원주유소,경기 고양시 일산동구 백마로 108 (장항동),경기 고양시 일산동구 백마로 108 ,SK에너지,Y,N,N,N,Y,1286.0
543,경기도,경기,고양시,현대오일뱅크㈜직영 장항IC셀프주유소,경기 고양시 일산동구 백마로 56 (장항동),경기 고양시 일산동구 백마로 56 ,현대오일뱅크,Y,N,N,N,Y,1286.0
544,경기도,경기,고양시,SK섬마을주유소,경기 고양시 덕양구 호수로 237,경기 고양시 덕양구 호수로 237,SK에너지,Y,N,N,N,Y,1296.0
545,경기도,경기,고양시,SK화정주유소, 경기도 고양시 덕양구 호국로 430, 경기도 고양시 덕양구 호국로 430,SK에너지,N,N,N,N,Y,1296.0
546,경기도,경기,고양시,(주)주연덕이 셀프주유소,경기 고양시 일산서구 덕이로292번길 13(덕이동),경기 고양시 일산서구 덕이로292번길 13,현대오일뱅크,Y,N,N,N,Y,1296.0
547,경기도,경기,고양시,자유제일주유소,경기 고양시 덕양구 자유로 487 (행주외동),경기 고양시 덕양구 자유로 487 ,SK에너지,Y,N,N,N,Y,1297.0
548,경기도,경기,고양시,제1자유로주유소,경기 고양시 덕양구 자유로 94,경기 고양시 덕양구 자유로 94,GS칼텍스,Y,N,N,N,Y,1297.0
549,경기도,경기,고양시,지에스칼텍스㈜ 토당주유소,경기 고양시 덕양구 중앙로 637,경기 고양시 덕양구 중앙로 637,GS칼텍스,Y,N,N,N,Y,1305.0
550,경기도,경기,고양시,일산가좌주유소,경기 고양시 일산서구 동서대로 352,경기 고양시 일산서구 동서대로 352,S-OIL,Y,N,N,N,Y,1317.0
551,경기도,경기,고양시,서오능SELF주유소,경기 고양시 덕양구 권율대로 450-1,경기 고양시 덕양구 권율대로 450-1,SK에너지,Y,N,N,N,Y,1327.0
552,경기도,경기,고양시,SK에너지(주) 백마주유소,경기 고양시 일산동구 중앙로 990 (백석동),경기 고양시 일산동구 중앙로 990 ,SK에너지,Y,N,N,N,Y,1345.0
553,경기도,경기,고양시,현대오일뱅크㈜직영 탄현셀프주유소,경기 고양시 일산서구 경의로 829 (덕이동),경기 고양시 일산서구 경의로 829 ,현대오일뱅크,Y,N,N,N,Y,1367.0
554,경기도,경기,고양시,현대오일뱅크㈜직영 능곡역주유소,경기 고양시 덕양구 지도로 15 (토당동),경기 고양시 덕양구 지도로 15 ,현대오일뱅크,N,N,N,N,Y,1370.0
555,경기도,경기,고양시,삼송서진주유소,경기 고양시 덕양구 통일로 226 (삼송동),경기 고양시 덕양구 통일로 226 ,현대오일뱅크,Y,N,N,N,Y,1438.0
556,경기도,경기,고양시,GS칼텍스 상암주유소,경기 고양시 덕양구 자유로 38 (덕은동),경기 고양시 덕양구 자유로 38 ,GS칼텍스,N,N,N,N,Y,1544.0
557,경기도,경기,고양시,오렌지주유소,경기 고양시 일산동구 백마로 49 (장항동),경기 고양시 일산동구 백마로 49 ,GS칼텍스,N,N,N,N,Y,1695.0
558,경기도,경기,고양시,사우디제 7 주유소,경기 고양시 일산동구 백마로 37 (장항동),경기 고양시 일산동구 백마로 37 ,SK에너지,N,N,N,N,Y,1697.0
559,경기도,경기,고양시,개나리주유소,경기 고양시 덕양구 보광로 126 (벽제동),경기 고양시 덕양구 보광로 126 ,알뜰주유소,Y,N,N,N,Y,1234.0
560,경기도,경기,고양시,너멍골알뜰주유소,경기 고양시 덕양구 호국로 1259,경기 고양시 덕양구 호국로 1259,알뜰주유소,Y,N,N,N,Y,1234.0
561,경기도,경기,고양시,명성주유소,경기 고양시 덕양구 호국로 1628 (벽제동),경기 고양시 덕양구 호국로 1628 ,SK에너지,Y,N,N,N,Y,1234.0
562,경기도,경기,고양시,정상에너지(주)강매self주유소,경기 고양시 덕양구 중앙로 316 (도내동),경기 고양시 덕양구 중앙로 316 ,SK에너지,Y,N,N,N,Y,1245.0
563,경기도,경기,고양시,(주)어울림주유소,경기 고양시 덕양구 충장로 407,경기 고양시 덕양구 충장로 407,알뜰주유소,Y,N,N,N,Y,1245.0
564,경기도,경기,고양시,(주)에스엠에너지직영 그린주유소,경기 고양시 덕양구 호국로 992,경기 고양시 덕양구 호국로 992,GS칼텍스,N,N,N,N,Y,1245.0
565,경기도,경기,고양시,(주)통일로 일품주유소,경기 고양시 덕양구 통일로 862 (관산동),경기 고양시 덕양구 통일로 862 ,알뜰주유소,Y,N,N,N,Y,1255.0
566,경기도,경기,고양시,명품주유소,경기 고양시 덕양구 중앙로 107,경기 고양시 덕양구 중앙로 107,현대오일뱅크,Y,N,N,N,Y,1265.0
567,경기도,경기,고양시,대신석유(주)대자주유소,경기도 고양시 덕양구  통일로 499,경기도 고양시 덕양구  통일로 499,SK에너지,Y,N,N,N,Y,1277.0
568,경기도,경기,고양시,SK화정주유소, 경기도 고양시 덕양구 호국로 430, 경기도 고양시 덕양구 호국로 430,SK에너지,N,N,N,N,Y,1296.0
569,경기도,경기,고양시,SK섬마을주유소,경기 고양시 덕양구 호수로 237,경기 고양시 덕양구 호수로 237,SK에너지,Y,N,N,N,Y,1296.0
570,경기도,경기,고양시,자유제일주유소,경기 고양시 덕양구 자유로 487 (행주외동),경기 고양시 덕양구 자유로 487 ,SK에너지,Y,N,N,N,Y,1297.0
571,경기도,경기,고양시,제1자유로주유소,경기 고양시 덕양구 자유로 94,경기 고양시 덕양구 자유로 94,GS칼텍스,Y,N,N,N,Y,1297.0
572,경기도,경기,고양시,지에스칼텍스㈜ 토당주유소,경기 고양시 덕양구 중앙로 637,경기 고양시 덕양구 중앙로 637,GS칼텍스,Y,N,N,N,Y,1305.0
573,경기도,경기,고양시,서오능SELF주유소,경기 고양시 덕양구 권율대로 450-1,경기 고양시 덕양구 권율대로 450-1,SK에너지,Y,N,N,N,Y,1327.0
574,경기도,경기,고양시,현대오일뱅크㈜직영 능곡역주유소,경기 고양시 덕양구 지도로 15 (토당동),경기 고양시 덕양구 지도로 15 ,현대오일뱅크,N,N,N,N,Y,1370.0
575,경기도,경기,고양시,삼송서진주유소,경기 고양시 덕양구 통일로 226 (삼송동),경기 고양시 덕양구 통일로 226 ,현대오일뱅크,Y,N,N,N,Y,1438.0
576,경기도,경기,고양시,GS칼텍스 상암주유소,경기 고양시 덕양구 자유로 38 (덕은동),경기 고양시 덕양구 자유로 38 ,GS칼텍스,N,N,N,N,Y,1544.0
577,경기도,경기,고양시,원흥제2주유소,경기 고양시 일산동구 성현로 533 (사리현동),경기 고양시 일산동구 성현로 533 ,현대오일뱅크,N,N,N,N,Y,1259.0
578,경기도,경기,고양시,신우에너지(주),경기 고양시 일산동구 고봉로 470 (성석동),경기 고양시 일산동구 고봉로 470 ,SK에너지,N,N,N,N,Y,1263.0
579,경기도,경기,고양시,성석셀프주유소,경기 고양시 일산동구 성현로 58 (성석동),경기 고양시 일산동구 성현로 58 ,현대오일뱅크,Y,N,N,N,Y,1264.0
