,sido,si,gu,os_nm,new_adr,api_adr,poll_div_cd,self_yn,wash_yn,repair_yn,conv_yn,all24_yn,oil_price
129,서울특별시,서울,동대문구,배봉로주유소,서울 동대문구 서울시립대로 108,서울 동대문구 서울시립대로 108,현대오일뱅크,Y,Y,N,N,N,1335.0
130,서울특별시,서울,동대문구,홍능주유소,서울 동대문구 홍릉로 87 (청량리동),서울 동대문구 홍릉로 87 ,S-OIL,N,Y,N,N,N,1347.0
131,서울특별시,서울,동대문구,삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),서울 동대문구 망우로 90 ,SK에너지,Y,Y,N,N,N,1359.0
132,서울특별시,서울,동대문구,삼영주유소,서울 동대문구 답십리로 258 (장안동),서울 동대문구 답십리로 258 ,SK에너지,N,Y,N,N,N,1369.0
133,서울특별시,서울,동대문구,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),서울 동대문구  한천로 100 ,SK에너지,Y,Y,N,N,N,1389.0
134,서울특별시,서울,동대문구,현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),서울 동대문구 천호대로 453 ,현대오일뱅크,N,Y,N,N,N,1395.0
135,서울특별시,서울,동작구,현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),서울 동작구 시흥대로 616 ,현대오일뱅크,Y,Y,N,N,N,1320.0
136,서울특별시,서울,동작구,매일주유소,서울 동작구 상도로 139 (상도동),서울 동작구 상도로 139 ,S-OIL,N,Y,N,N,N,1349.0
137,서울특별시,서울,동작구,창원이엔지주유소,서울 동작구 사당로 59 (상도동),서울 동작구 사당로 59 ,현대오일뱅크,N,Y,N,N,N,1359.0
138,서울특별시,서울,동작구,대성산업(주) 노량진주유소,서울 동작구 노량진로 172 (노량진동),서울 동작구 노량진로 172 ,GS칼텍스,N,Y,N,N,N,1368.0
139,서울특별시,서울,동작구,현대오일뱅크(주)직영 동작주유소,서울 동작구 상도로 403 (상도동),서울 동작구 상도로 403 ,현대오일뱅크,N,Y,N,N,N,1399.0
140,서울특별시,서울,동작구,현대오일뱅크(주)직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),서울 동작구 동작대로 73 ,현대오일뱅크,Y,Y,N,N,N,1409.0
141,서울특별시,서울,동작구,현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),서울 동작구 현충로 101 ,현대오일뱅크,Y,Y,N,N,N,1409.0
142,서울특별시,서울,마포구,청원주유소,서울 마포구 월드컵북로 113 (성산동),서울 마포구 월드컵북로 113 ,현대오일뱅크,N,Y,N,N,N,1398.0
143,서울특별시,서울,마포구,대흥주유소,서울 마포구 대흥로 61 (대흥동),서울 마포구 대흥로 61 ,SK에너지,N,Y,N,N,N,1398.0
144,서울특별시,서울,마포구,에스오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),서울 마포구 백범로 126 ,S-OIL,Y,Y,N,N,N,1398.0
145,서울특별시,서울,마포구,현대오일뱅크㈜직영 마포제일주유소,서울 마포구 서강로 76 (창전동),서울 마포구 서강로 76 ,현대오일뱅크,N,Y,N,N,N,1438.0
146,서울특별시,서울,마포구,망원동주유소,서울 마포구 월드컵로 119 (망원동),서울 마포구 월드컵로 119 ,SK에너지,N,Y,N,N,N,1438.0
147,서울특별시,서울,마포구,현대오일뱅크㈜직영 성산대교주유소,서울 마포구 성산로 144,서울 마포구 성산로 144,현대오일뱅크,N,Y,N,N,N,1453.0
148,서울특별시,서울,마포구,마포주유소,서울 마포구 마포대로 186 (공덕동),서울 마포구 마포대로 186 ,S-OIL,N,Y,N,N,N,1697.0
149,서울특별시,서울,서대문구,(주)우남에너지,서울 서대문구 세검정로 87 (홍제동),서울 서대문구 세검정로 87 ,S-OIL,N,Y,N,N,N,1319.0
150,서울특별시,서울,서대문구,광호주유소,서울 서대문구 연희로 266 (홍은동),서울 서대문구 연희로 266 ,SK에너지,N,Y,N,N,N,1354.0
151,서울특별시,서울,서대문구,코리아상사연세주유소,서울 서대문구 연희로 184,서울 서대문구 연희로 184,GS칼텍스,Y,Y,N,N,N,1354.0
152,서울특별시,서울,서대문구,연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),서울 서대문구 연희로 129 ,SK에너지,N,Y,N,N,N,1354.0
153,서울특별시,서울,서대문구,(주)마봉 구도일주유소 두꺼비,서울 서대문구 성산로 312 (연희동),서울 서대문구 성산로 312 ,S-OIL,Y,Y,N,N,N,1354.0
154,서울특별시,서울,서대문구,행촌제2주유소,서울 서대문구 성산로 490 (대신동),서울 서대문구 성산로 490 ,SK에너지,N,Y,N,N,N,1354.0
